loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),deviceOrientation(Z)
92,116350.823643125,-0.014022827148438,-0.017669677734375,-0.987472534179688,116350.811711125,-0.016239956327303,-0.007290137167983,0.012616991980359,116350.806737125,-1.81424677243217,-0.021929441717072,0.010317350008331,-0.031166467815638,0.001391732599586,-0.000451991334558,0.010009402409196,-0.003690401092172,-0.008014619350433,-0.005459393374622,-0.010817606002092,-0.787711977958679,0.615924537181854,-0.021926516667008,-0.010317167267203,-0.999706327915192,0,0,0,-1,5
93,116350.883305125,-0.024566650390625,-0.008010864257813,-1.01713562011719,116350.881322125,-0.009586314659849,0.016027436072315,0.029940322239107,116350.876347125,-1.81344363995885,-0.023391863859384,0.008156528415327,-0.021968442946673,-0.019063740968704,0.019890563562512,0.004269689321518,-0.00286040827632,0.005995035171509,-0.006696734577417,-0.010419690050185,-0.787456512451172,0.616245687007904,-0.023388952016831,-0.008156438358128,-0.999693155288696,0,0,0,-1,5
94,116350.942967125,-0.023605346679688,-0.008941650390625,-1.01333618164063,116350.916142125,-0.011273959842633,-0.024489097803824,0.032926258453304,116350.911137125,-1.81278056090775,-0.023566888413756,0.007393090665342,-0.019490104168654,0.004363287705928,0.021108960732818,0.003697119653225,-0.003455975092947,-0.004073917865753,-0.006997532676905,-0.010175374336541,-0.787249982357025,0.616510391235352,-0.0235640630126,-0.007393023464829,-0.999695003032684,0,0,0,-1,5
95,116351.002629125,-0.034027099609375,0.010696411132813,-1.00981140136719,116350.985722125,0.039924513165814,0.03668557664806,0.032768599316771,116350.980748125,-1.81119951255845,-0.024266968421477,0.006393693054428,0.027081657201052,0.041076824069023,0.01863195374608,-0.00188947468996,0.011444308795035,0.006566822528839,-0.007573299109936,-0.010003807023168,-0.786757469177246,0.617134630680084,-0.02426409162581,-0.006393649615347,-0.999685108661652,0,0,0,-1,5
96,116351.062291125,-0.031326293945313,0.003204345703125,-0.990493774414062,116351.055333125,0.034394459162264,0.028199147518413,0.041223869461664,116351.050359125,-1.80931839664898,-0.023580295636892,0.007337152022354,0.02566672116518,0.021866114810109,0.028151689097285,-0.014996744692326,0.022916309535503,-0.001800298690796,-0.007002462632954,-0.010169627144933,-0.786181390285492,0.617872416973114,-0.02357747592032,-0.007337086368352,-0.999695062637329,0,0,0,-1,5
97,116351.121953125,-0.020126342773438,-0.0137939453125,-1.00650024414063,116351.090123125,0.022154038160042,-0.000457797391385,0.048427453894219,116351.119969125,-1.80691125280292,-0.023036869784781,0.008290309805365,0.016799725592136,0.003832786343992,0.034378424286842,0.001091901212931,-0.005366400815547,0.001561880111694,-0.006481853779405,-0.010384203866124,-0.785440981388092,0.618815541267395,-0.023034039884806,-0.008290214464068,-0.999700307846069,0,0,0,-1,5
98,116351.181615125,-0.022491455078125,-0.012939453125,-1.00418090820313,116351.159734125,0.025460885285594,0.003781688747913,0.043135752808232,116351.154790125,-1.80577951635885,-0.022738924680351,0.008675508096411,0.010504812933505,0.011390304192901,0.032201826572418,0.001251734793186,-0.005133804865181,0.001336574554443,-0.006239736452699,-0.010446813888848,-0.785092353820801,0.619259178638458,-0.022736109793186,-0.008675399236381,-0.999703884124756,0,0,0,-1,5
99,116351.241277125,-0.022369384765625,-0.012191772460938,-1.01034545898438,116351.229344125,0.022434469022828,0.013442571918284,0.036726589328847,116351.224400125,-1.80386602155541,-0.021872662953081,0.010107659674998,0.017050594091416,0.016659900546074,0.024812618270516,0.000370167195797,-0.003076106309891,-0.002014517784119,-0.005445915739983,-0.010745950974524,-0.784504354000092,0.620006203651428,-0.02186980098486,-0.010107487440109,-0.999709725379944,0,0,0,-1,5
100,116351.300938125,-0.020034790039063,-0.011932373046875,-1.00254821777344,116351.298955125,0.007321029836628,0.002990996220268,0.033284453619919,116351.294011125,-1.80207599339052,-0.021993966304036,0.009878477875779,-0.003544427454472,-0.002253868384287,0.022333482280374,0.000720366835594,-0.002588113769889,-0.006500959396362,-0.005554979201406,-0.010698641650379,-0.783948481082916,0.62070894241333,-0.021991120651364,-0.009878316894174,-0.999709367752075,0,0,0,-1,5
101,116351.360600125,-0.025970458984375,-0.001434326171875,-0.996063232421875,116351.333775125,-0.001295095238106,-0.002215217394728,0.029945382245178,116351.328801125,-1.80140134478903,-0.022106375302367,0.009641987245614,-0.012167477048934,-0.007463544141501,0.020064735785127,-0.002188444137573,0.002485466189682,-0.000916421413422,-0.00566885760054,-0.010642751120031,-0.783738374710083,0.620974063873291,-0.022103548049927,-0.009641838259995,-0.999709188938141,0,0,0,-1,5
102,116351.4202645,-0.025741577148438,-0.004150390625,-1.00422668457031,116351.403386125,0.008379636369934,-0.00337981773942,0.020419521342074,116351.398381125,-1.80063543698018,-0.02185626429284,0.010008305434509,0.000775751657784,-0.006524779833853,0.006306312978268,-0.00416280515492,0.00756673142314,-0.000227868556976,-0.00545299379155,-0.010710720904172,-0.783501744270325,0.621273279190064,-0.021853430196643,-0.010008138604462,-0.999711096286774,0,0,0,-1,5
103,116351.4799265,-0.024124145507813,-0.006637573242188,-1.00152587890625,116351.4729985,0.006284793856478,-0.005445631796994,0.008609733488117,116351.4679945,-1.80057205971809,-0.021667351648843,0.010292150179595,-0.002302157692611,-0.002167427446693,-0.004413867834955,-0.001986613497138,0.005515966564417,-0.001065850257874,-0.005290460307151,-0.010763391852379,-0.78348296880722,0.621297538280487,-0.021664509549737,-0.010291968472302,-0.999712347984314,0,0,0,-1,5
104,116351.5395885,-0.01690673828125,-0.014068603515625,-0.9974365234375,116351.5077895,0.011850001586417,0.007292267696855,0.004458131664793,116351.5376045,-1.80115115538301,-0.021847179737431,0.010140829937739,0.002129875123501,0.002085374202579,-0.018255647271872,0.00486128591001,-0.003424406982958,-6.11543655395508E-05,-0.005411035846919,-0.010758415795863,-0.783662140369415,0.621070563793182,-0.021844318136573,-0.010140656493604,-0.999709963798523,0,0,0,-1,5
105,116351.5992805,-0.01885986328125,-0.008575439453125,-1.00425720214844,116351.5773995,0.002144110993623,-0.005318865329106,-0.012846822782433,116351.5724255,-1.80189675564155,-0.021967351347487,0.00993897724349,-0.009735838510096,-0.006273223087192,-0.022719372063875,0.003669211640954,-0.002466581761837,-0.005005598068237,-0.005524809937924,-0.010714589618147,-0.78389298915863,0.620778799057007,-0.021964499726892,-0.009938813745976,-0.999709367752075,0,0,0,-1,5
106,116351.6589425,-0.020401000976563,-0.003860473632813,-1.00675964355469,116351.6470105,-0.006405967686077,-0.008375108996081,-0.021526331091111,116351.6420355,-1.80399585200529,-0.022404896506346,0.009249165653245,-0.01399290189147,-0.009380066767335,-0.033489461988211,0.001863732933998,0.003008188679814,-0.001773834228516,-0.005921542644501,-0.010573843494058,-0.784541785717011,0.619957566261292,-0.022402063012123,-0.009249033406377,-0.999706268310547,0,0,0,-1,5
107,116351.7186045,-0.018707275390625,0.004745483398438,-1.00079345703125,116351.7165905,0.010830010888916,0.004156129197178,-0.010555705296638,116351.7116465,-1.80632479054982,-0.022966257735218,0.008238055344105,-0.004264906980097,6.66982959955931E-05,-0.026904528960586,0.003310140222311,0.010435227304697,-0.005119442939758,-0.006467261351645,-0.010343733243644,-0.785259604454041,0.61904639005661,-0.022963460534811,-0.00823796261102,-0.999702334403992,0,0,0,-1,5
108,116351.7782665,-0.009796142578125,0.006637573242188,-1.00074768066406,116351.7514415,0.028975991608389,0.01235919798684,0.015389608991241,116351.7464365,-1.80682004031294,-0.022762408248694,0.008446460293753,0.018191665410996,0.010344902053475,-0.000897962599993,0.006325915455818,0.017220165580511,-0.00059986114502,-0.006325275637209,-0.010360890999436,-0.785413920879364,0.618851780891418,-0.022759631276131,-0.008446360006928,-0.99970531463623,0,0,0,-1,5
109,116351.8379285,-0.008712768554688,-0.000625610351563,-1.0042724609375,116351.8210215,0.038724226462515,0.017582189516703,0.00910827724418,116351.8160475,-1.80641611503562,-0.022415977921908,0.009085947758846,0.021470814943314,0.014570539817214,-0.001908365637064,0.015211027115584,0.011023689061403,-0.0043665766716,-0.005989208351821,-0.010506018064916,-0.785291135311127,0.619008600711823,-0.022413175553084,-0.009085822850466,-0.999707520008087,0,0,0,-1,5
110,116351.8975905,-0.014297485351563,-0.01409912109375,-1.0107421875,116351.8906325,0.010799118220271,0.006257629613359,-0.000911600041134,116351.8856575,-1.80712729685679,-0.022163454187009,0.009591747911504,-0.001129833981395,0.001044877339154,-0.012947168201208,0.008259862661362,-0.000662306323647,0.004545450210571,-0.005737267434597,-0.010624405927956,-0.785512745380402,0.618727624416351,-0.022160619497299,-0.009591600857675,-0.999708414077759,0,0,0,-1,5
111,116351.9572515,-0.015884399414063,-0.013412475585938,-1.00634765625,116351.9254225,0.016124907768212,0.000881772636925,-0.009439574483786,116351.9552685,-1.80838977464614,-0.022073560918225,0.009690006943738,-2.54213809967041E-05,0.001047806814313,-0.018286272883415,0.005896415561438,-0.004424523562193,-0.011307418346405,-0.005678270477802,-0.01063160225749,-0.785903573036194,0.618231654167175,-0.022070731967688,-0.009689855389297,-0.99970942735672,0,0,0,-1,5
112,116352.0169135,-0.018447875976563,-0.010330200195313,-0.997314453125,116351.9950325,0.000961667469628,-0.006419283491527,0.002119609911594,116351.9900885,-1.80891811790218,-0.022172422781062,0.009541480628272,-0.00981386937201,-0.007370711769909,-0.013092044740915,0.005110271275043,-0.001948533579707,-0.003266751766205,-0.005765837617219,-0.010602280497551,-0.786066353321075,0.618024349212647,-0.022169597446919,-0.009541335515678,-0.999708712100983,0,0,0,-1,5
113,116352.0765755,-0.021347045898438,-0.00701904296875,-1.00169372558594,116352.0646435,-0.014218617059933,-0.011611914984964,0.021182250678272,116352.0596995,-1.80913543915994,-0.022929100787113,0.008250203870384,-0.025048214942217,-0.01576579362154,0.007024141959846,0.002952557057142,-0.000477916561067,-0.001593887805939,-0.006463431753218,-0.010327928699553,-0.78612893819809,0.61794239282608,-0.022926311939955,-0.00825010985136,-0.999703109264374,0,0,0,-1,5
114,116352.1362375,-0.02642822265625,0.002212524414063,-1.0040283203125,116352.1342535,0.025726935078493,0.01344097402163,0.023920246594983,116352.1293105,-1.80836125434352,-0.023646856564977,0.007081552688811,0.006262302398682,0.005129900295287,0.011780281551182,-0.001044660806656,0.007600292563438,0.000763475894928,-0.007102770265192,-0.010093123652041,-0.78588479757309,0.618249714374542,-0.023644059896469,-0.007081493269652,-0.999695360660553,0,0,0,-1,5
115,116352.1958995,-0.028793334960938,0.002151489257813,-1.00267028808594,116352.1690745,0.017037839389891,0.006081328349196,0.02699193659628,116352.1641005,-1.80795386233413,-0.023284071572439,0.007591720987676,0.012689841911197,0.006106481421739,0.012931301258504,-0.003833571448922,0.009926242753863,0.000936090946198,-0.006800418253988,-0.010182816535235,-0.78576123714447,0.618408799171448,-0.02328129671514,-0.007591648027301,-0.999700129032135,0,0,0,-1,5
116,116352.2555615,-0.025299072265625,-0.00408935546875,-0.998443603515625,116352.2386855,0.021317539261648,0.010257963886767,0.036697294556856,116352.2336805,-1.80666876150101,-0.022845738976175,0.008308981662313,0.015882173553109,0.008171763271093,0.020472306758165,-0.003417413681746,0.012108325026929,-0.002401173114777,-0.006399762351066,-0.010333174839616,-0.785366594791412,0.618911623954773,-0.022842962294817,-0.008308885619044,-0.999704539775848,0,0,0,-1,5
117,116352.3152235,-0.019485473632813,-0.014251708984375,-0.998580932617188,116352.3082955,0.031050061465343,0.014414625716163,0.030410370171506,116352.3032905,-1.80493114500626,-0.022458657204844,0.008911915600546,0.020239904522896,0.013445887714624,0.020550336688757,0.004221623763442,-0.005294134840369,-0.003099501132965,-0.00605207728222,-0.010455396957696,-0.784830868244171,0.619592130184174,-0.02245587669313,-0.008911797776818,-0.999708116054535,0,0,0,-1,5
118,116352.3748845,-0.018035888671875,-0.0118408203125,-1.00283813476563,116352.3430855,0.017079917335114,0.010336260822816,0.030225280475745,116352.3729015,-1.80363896202552,-0.021989914250911,0.009669950688792,0.010553985834122,0.008254054933786,0.017198748886585,0.004607353359461,-0.002491454593837,3.19480895996094E-05,-0.005626412108541,-0.010611260309815,-0.784433007240295,0.620097279548645,-0.021987114101648,-0.009669800288975,-0.999711513519287,0,0,0,-1,5
119,116352.434521125,-0.020980834960938,-0.009201049804688,-1.00471496582031,116352.412671125,0.010540525278425,0.000835966266176,0.026888872262094,116352.407696125,-1.80312046930541,-0.021793584525782,0.009882553131347,-0.000233147293329,0.000943943392485,0.013823459856212,0.001450829207897,-0.000478325411677,0.000964939594269,-0.005480724852532,-0.010635188780725,-0.784273087978363,0.620300471782684,-0.02179079502821,-0.00988239236176,-0.999713718891144,0,0,0,-1,5
120,116352.494214125,-0.02349853515625,-0.00531005859375,-1.00244140625,116352.482281125,0.005177185159114,-0.003333212420343,0.019311646328601,116352.477307125,-1.80232857061427,-0.022180200827105,0.00922620327189,-0.008806489408016,-0.00316780176945,0.006206925027072,0.000479441136122,0.001871336251497,-0.003401339054108,-0.005831768736243,-0.010500051081181,-0.784025311470032,0.620612680912018,-0.022177439182997,-0.009226072579622,-0.999711453914642,0,0,0,-1,5
121,116352.553876125,-0.023468017578125,-0.003143310546875,-0.99560546875,116352.551861125,0.019322831605179,0.006125270507182,0.004540157026367,116352.546918125,-1.80230497148601,-0.022187999696128,0.009171090885777,0.007433466613293,0.004122335463762,-0.006410067435354,-0.0015116520226,0.006973696872592,-1.35302543640137E-05,-0.00585180753842,-0.010480937547982,-0.784017860889435,0.620622098445892,-0.022185245528817,-0.009170962497592,-0.999711811542511,0,0,0,-1,5
122,116352.613537125,-0.024932861328125,-0.00201416015625,-1.00462341308594,116352.586682125,0.012848154362978,0.001949700234047,0.003372360888367,116352.581708125,-1.80255569822895,-0.022154491798824,0.009250206307058,-0.001189582049847,-0.001087340293452,-0.008678814396262,-0.002521730959415,0.00677815079689,-0.006513774394989,-0.00581543520093,-0.010500822216272,-0.784095883369446,0.620523512363434,-0.022151730954647,-0.009250074625015,-0.999711811542511,0,0,0,-1,5
123,116352.673199125,-0.0191650390625,-0.010452270507813,-1.00401306152344,116352.656293125,0.004252801944748,-0.003246127052698,-0.003177683812683,116352.651318125,-1.80341857405188,-0.022325849545581,0.009144071306474,-0.007659199181944,-0.006318854168057,-0.01306317653507,0.000914979726076,0.001209374517202,0.001738429069519,-0.005920084193349,-0.010509828105569,-0.784362852573395,0.620184898376465,-0.022323060780764,-0.00914394389838,-0.999709010124206,0,0,0,-1,5
124,116352.732861125,-0.018814086914063,-0.009613037109375,-0.999649047851562,116352.725903125,0.008676578831478,0.004177967118116,-0.008440090126679,116352.720929125,-1.80471795110545,-0.02255400415344,0.008830961651631,-0.002153646200895,3.83779406547546E-05,-0.022599956020713,0.002714786678553,-0.001041589304805,-0.005740702152252,-0.006113458890468,-0.010453821159899,-0.784764409065247,0.619675934314728,-0.022551212459803,-0.008830847218633,-0.99970668554306,0,0,0,-1,5
125,116352.792523125,-0.02081298828125,-0.00567626953125,-0.997879028320312,116352.760693125,0.006493053053722,-0.001107608697364,-0.013844709242886,116352.790539125,-1.80638427955578,-0.022704648822585,0.008589326738864,-0.003315849229693,-0.005285813473165,-0.020499788224697,0.002621294930577,0.002027941867709,-0.000492990016937,-0.006256115157157,-0.010400482453406,-0.785279512405396,0.619022369384766,-0.022701861336827,-0.008589221164584,-0.999705374240875,0,0,0,-1,5
126,116352.852185125,-0.018966674804688,-0.0003662109375,-1.00387573242188,116352.830304125,0.0042602587958,0.000991494873837,0.005407282277297,116352.825360125,-1.80688240040417,-0.022916822599266,0.008263944167165,-0.010864846408367,-0.004156899638474,-0.008808244019747,0.001841645687819,0.005379939451814,-0.003440022468567,-0.006442717742175,-0.010336799547076,-0.785432398319244,0.618827700614929,-0.022914033383131,-0.008263849653304,-0.999703288078308,0,0,0,-1,5
127,116352.911847125,-0.017852783203125,-0.00506591796875,-1.0023193359375,116352.899914125,0.020266655895503,0.009223325803271,0.031327562850929,116352.894971125,-1.80658688790347,-0.022960427551749,0.008220426801745,0.007281133905053,0.004046169109643,0.017137069255114,0.005806755274534,0.007167478092015,-0.000800907611847,-0.006471781991422,-0.010334159247577,-0.78534072637558,0.618943750858307,-0.022957634180784,-0.008220334537327,-0.999702632427216,0,0,0,-1,5
128,116352.971509125,-0.014022827148438,-0.002548217773438,-1.00238037109375,116352.969525125,0.019250393623529,0.008205998266861,0.020606208934488,116352.964581125,-1.80545479611787,-0.022627196072576,0.00875146891003,0.007338391616941,0.005133271683007,0.010720715858042,0.007258798927069,0.005318129435182,-0.002262651920319,-0.006170660257339,-0.010443037375808,-0.784992277622223,0.619386732578278,-0.022624399513006,-0.008751356974244,-0.999705731868744,0,0,0,-1,5
129,116353.031171125,-0.014907836914063,-0.005203247070313,-1.00479125976563,116353.004346125,0.012735502648868,0.00083490100174,0.018351310439518,116352.999341125,-1.8051589012964,-0.022509535888147,0.008933528245267,0.001922854222357,-0.001178952981718,0.006343278102577,0.009185813367367,0.010627133771777,-0.0020632147789,-0.006066538393497,-0.010478948242962,-0.784901320934296,0.619502484798431,-0.022506736218929,-0.008933409117162,-0.99970680475235,0,0,0,-1,5
130,116353.090832125,-0.016342163085938,-0.00689697265625,-0.999465942382812,116353.073956125,0.001076716028719,-1.09189604693249E-05,-0.001057807584979,116353.068951125,-1.80530941040323,-0.022705014408281,0.008634639265232,-0.007612061221153,-0.00311986473389,-0.013046398758888,0.007153511047363,-0.001726185902953,-0.003133177757263,-0.006236631888896,-0.010421738959849,-0.784946799278259,0.619444072246552,-0.022702217102051,-0.008634531870484,-0.999704957008362,0,0,0,-1,5
131,116353.150494125,-0.018417358398438,-0.004837036132813,-1.00314331054688,116353.143567125,0.010699782311611,0.000915594782769,0.002271410093729,116353.138562125,-1.80626635200678,-0.022800850702528,0.008350755325969,0.002087703906,0.002078891731799,-0.011835458688438,0.004441756755114,0.004154490306973,-0.000630497932434,-0.00636712834239,-0.010336968116462,-0.785242259502411,0.619069516658783,-0.022798079997301,-0.008350658230484,-0.999705195426941,0,0,0,-1,5
132,116353.210156125,-0.021347045898438,-0.002792358398438,-1.00424194335938,116353.178357125,0.006363357108635,-0.000113983294655,0.008637696679563,116353.208172125,-1.80657827618092,-0.022944649942334,0.008103488343933,-0.00335499830544,-1.30210537463427E-05,-0.002276308834553,0.001228626817465,0.004532842896879,-0.002920567989349,-0.006501737516373,-0.010283390060067,-0.785337865352631,0.618947744369507,-0.022941883653402,-0.008103399537504,-0.9997039437294,0,0,0,-1,5
133,116353.269818125,-0.020950317382813,-0.004653930664063,-0.998001098632812,116353.247967125,0.0084318343273,-0.001236772010233,0.017219733292343,116353.242993125,-1.80653223222574,-0.023001744932656,0.007924034295692,-0.006677557714283,-0.005318836774677,0.003009799867868,-0.000362209975719,0.005879274569452,0.00019234418869,-0.006579463370144,-0.010230749845505,-0.785323083400726,0.618966639041901,-0.022998994216323,-0.007923951372504,-0.99970406293869,0,0,0,-1,5
134,116353.329480125,-0.020980834960938,-0.007049560546875,-1.0006103515625,116353.317547125,0.016007728680248,0.005057076593951,0.018411231564045,116353.312604125,-1.80614390956881,-0.022801095891153,0.008219047175992,0.006271796301007,0.003032303415239,0.005345392040908,0.000886728987098,4.02443110942841E-05,-0.002750337123871,-0.00640736753121,-0.010285728611052,-0.785204112529755,0.619118392467499,-0.022798350080848,-0.008218954317272,-0.999706327915192,0,0,0,-1,5
135,116353.389172125,-0.023757934570313,-0.0052490234375,-1.00167846679688,116353.387158125,0.011685151914941,0.004034422735361,0.022636869265674,116353.382214125,-1.80561278591207,-0.022576562604677,0.008562936765346,0.000856790691614,0.000954239163548,0.010623243637383,-5.49666583538055E-05,0.004839688539505,-7.78436660766602E-05,-0.006209997925907,-0.010352873243392,-0.785041034221649,0.619326174259186,-0.022573817521334,-0.008562832139432,-0.999708533287048,0,0,0,-1,5
136,116353.448847542,-0.019699096679688,-0.00897216796875,-1.00135803222656,116353.421992542,0.010561297934927,0.000846352594427,0.023677898935786,116353.417017542,-1.80521915201046,-0.022627010133801,0.008498996921238,-0.002399722114205,-0.002201606985182,0.010568915866315,0.000880487263203,3.02661210298538E-05,-0.004289865493774,-0.006247566547245,-0.010344629175961,-0.78491884469986,0.619480729103088,-0.022624261677265,-0.00849889498204,-0.999707937240601,0,0,0,-1,5
137,116353.508509542,-0.021743774414063,-0.006332397460938,-1.00271606445313,116353.491602542,0.01385429662281,0.00507891451489,0.020526846734004,116353.486628542,-1.8046587385792,-0.022587020878726,0.008485184697973,0.004087739624083,-0.000198625028133,0.005311046727002,0.000687923282385,0.001237157732248,-0.001008212566376,-0.006233256775886,-0.010328569449484,-0.784745335578918,0.619700968265533,-0.022584287449718,-0.008485082536936,-0.999708950519562,0,0,0,-1,5
138,116353.568171542,-0.022720336914063,-0.005126953125,-1.00338745117188,116353.561213542,0.012771987955802,0.001911617030459,0.015145929751499,116353.556238542,-1.80433490656643,-0.022393171433179,0.008698126242329,-0.000168791040778,0.000928691122681,0.004196248017252,0.00034150108695,0.003860980272293,-0.00341659784317,-0.006089530419558,-0.010353037156165,-0.784645974636078,0.61982786655426,-0.022390453144908,-0.008698016405106,-0.999711453914642,0,0,0,-1,5
139,116353.627833542,-0.022781372070313,-0.00677490234375,-1.00273132324219,116353.596003542,0.012763199524205,0.000848749439408,0.014070012671107,116353.625849542,-1.80417065548599,-0.022476654481506,0.008619804188336,-0.001249235123396,-0.001179200946353,0.000961572863162,-0.000261668115854,0.003096015192568,-0.004333317279816,-0.006145710591227,-0.010348689742386,-0.784594655036926,0.619892179965973,-0.022473927587271,-0.008619697764516,-0.999710261821747,0,0,0,-1,5
140,116353.687495542,-0.020538330078125,-0.006393432617188,-1.00070190429688,116353.665613542,0.013921674598389,0.004054130127428,0.00767736079048,116353.660670542,-1.80420526091802,-0.022546318140992,0.008567671735887,0.00094068236649,-0.000124322948977,-0.004359422717243,0.000647218897939,0.003104920499027,-0.001389503479004,-0.006189377512783,-0.010349724441767,-0.784605085849762,0.619878649711609,-0.022543581202626,-0.008567566983402,-0.999709129333496,0,0,0,-1,5
141,116353.747156542,-0.021926879882813,-0.006088256835938,-1.0010986328125,116353.735224542,0.01066516121744,0.000898284235684,0.007623032304243,116353.730280542,-1.80454614899779,-0.022462786895293,0.008718696881995,-0.000160534866154,-0.002242601243779,-0.004383124876767,0.000716269016266,0.002035235986114,-0.002624869346619,-0.006111564580351,-0.010382036678493,-0.784711241722107,0.61974436044693,-0.022460043430328,-0.008718586526811,-0.999709725379944,0,0,0,-1,5
142,116353.806818542,-0.019882202148438,-0.00604248046875,-0.999969482421875,116353.804835542,0.007399859404894,-0.003320429247111,0.006492786737613,116353.799891542,-1.80497356391892,-0.022580724705806,0.008490473014242,-0.006619499530643,-0.005351841449738,-0.005545328371227,0.001459827646613,0.002920912578702,-0.001298069953918,-0.006230772938579,-0.010327712632716,-0.784842908382416,0.619577467441559,-0.022577991709113,-0.008490370586514,-0.999709010124206,0,0,0,-1,5
143,116353.866480542,-0.020584106445313,-0.006439208984375,-1.00178527832031,116353.839655542,0.0107644971261,0.006240319066274,0.00444002216938,116353.834650542,-1.80521226525558,-0.022680900464184,0.008384837921921,-0.001200765371323,-0.001154966186732,-0.006530697923154,0.002506040036678,0.002235447987914,-0.002565920352936,-0.006304043810815,-0.010316543281078,-0.784916341304779,0.619483888149262,-0.022678159177303,-0.008384739980102,-0.999707639217377,0,0,0,-1,5
144,116353.926142542,-0.020828247070313,-0.003097534179688,-1.00473022460938,116353.909266542,0.016113456175525,0.006168413716842,0.004502606454997,116353.904261542,-1.80571361439871,-0.022702496647942,0.008392556281668,0.00310982670635,0.000920169055462,-0.006469445303082,0.002634439617395,0.00247204862535,-0.000704884529114,-0.006312716752291,-0.01032467931509,-0.785071551799774,0.619286954402924,-0.022699747234583,-0.008392457850277,-0.999707102775574,0,0,0,-1,5
145,116353.985804542,-0.018707275390625,-0.004074096679688,-1.00117492675781,116353.978876542,0.010648116986464,0.003006708870699,0.015126488675541,116353.973871542,-1.80589865572596,-0.022680474847144,0.008381416991861,-0.002317163161933,-0.000105414539576,0.003095298074186,0.002398803830147,0.006107759661973,-0.002901554107666,-0.006308476440609,-0.010312904603779,-0.785128891468048,0.619214475154877,-0.022677734494209,-0.008381319232285,-0.999707698822022,0,0,0,-1,5
146,116354.045466542,-0.01806640625,-0.004608154296875,-1.00260925292969,116354.013666542,0.01170406035868,0.002985403581979,0.01727965441687,116354.043482542,-1.80554022212773,-0.022668780530841,0.008366907918611,-0.000166926532984,0.001988096628338,0.006342490203679,0.005393095314503,0.003590809181333,-0.000185132026672,-0.006306532304734,-0.010304719209671,-0.785017907619476,0.619355261325836,-0.022666046395898,-0.008366810157895,-0.99970805644989,0,0,0,-1,5
147,116354.105128542,-0.016464233398438,-0.002716064453125,-1.00334167480469,116354.083277542,0.014998923259326,0.008277370984075,0.016274843737583,116354.078303542,-1.80535145889146,-0.022557332116529,0.008500995381748,0.006297097541392,0.004041393753141,0.004288126714528,0.005266396328807,0.00488455966115,-0.000534653663635,-0.006220285780728,-0.010323420166969,-0.784960031509399,0.619429051876068,-0.022554604336619,-0.008500892668962,-0.999709486961365,0,0,0,-1,5
148,116354.164789542,-0.017578125,-0.0048828125,-1.00218200683594,116354.152857542,0.009661948434807,0.007296795070708,0.011925369045266,116354.147913542,-1.80523151667937,-0.022441725680864,0.008666315837545,-0.000148017890751,0.000939077232033,0.000985275022686,0.00466251000762,0.003874946385622,-0.005614638328552,-0.00612308178097,-0.010352862067521,-0.784923553466797,0.619475901126862,-0.022438999265432,-0.00866620708257,-0.99971067905426,0,0,0,-1,5
149,116354.224482542,-0.017974853515625,-0.006240844726563,-0.99951171875,116354.222468542,0.010680873867872,0.001964613936151,0.007628624942532,116354.217524542,-1.80531055782087,-0.022539900966403,0.008418331043349,-0.002291330136359,-0.001150971511379,-0.003332241438329,0.005126915872097,0.003138691186905,0.001312732696533,-0.006238838657737,-0.010285707190633,-0.784947276115418,0.619445741176605,-0.02253719419241,-0.008418231271207,-0.999710559844971,0,0,0,-1,5
150,116354.284144542,-0.018524169921875,-0.005630493164063,-1.00459289550781,116354.257288542,0.009597233620319,0.001972070787204,0.009756756969614,116354.252314542,-1.80541013938858,-0.022569673761427,0.008324534088481,-0.001228462904692,-0.001168814720586,-0.002249400131404,0.003737630322576,0.001747900620103,-0.004699110984802,-0.006280088797212,-0.01025780569762,-0.784977853298187,0.619407057762146,-0.022566976025701,-0.008324437774718,-0.99971067905426,0,0,0,-1,5
151,116354.343806542,-0.019973754882813,-0.005020141601563,-0.998199462890625,116354.326899542,0.010660101211369,0.0019542276079,0.010839598268841,116354.321924542,-1.80562086257592,-0.022612232496145,0.00826956499476,-0.001210886053741,0.00095692044124,-9.75662842392921E-05,0.002712070941925,0.004180114716291,-0.001846253871918,-0.00631489790976,-0.010248747654259,-0.785042881965637,0.619324505329132,-0.022609531879425,-0.008269471116364,-0.999710142612457,0,0,0,-1,5
