loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),deviceOrientation(Z)
52,116348.43708275,-0.01910400390625,-0.004486083984375,-1.00238037109375,116348.41025775,0.011745605671686,0.003006176238481,0.010857707764253,116348.40525275,-1.80521935733838,-0.022510237944641,0.008295935082337,0.001909960992634,-8.82092863321304E-05,-0.001125166192651,0.003464594483376,0.005030458793044,-0.003370046615601,-0.006264642812312,-0.010228771716356,-0.784918904304504,0.619482457637787,-0.022507563233376,-0.008295839652419,-0.999712228775024,0,0,0,-1,5
53,116348.49674475,-0.019378662109375,-0.005477905273438,-1.00152587890625,116348.47986875,0.01172296880242,0.001936384428597,0.011922439568067,116348.47486375,-1.80526290219648,-0.022493326520575,0.008262389207425,-0.000218343921006,-8.78807622939348E-05,-0.001161756925285,0.002806823700666,0.003684659488499,-0.001950323581696,-0.006268620491028,-0.010210232809186,-0.784932374954224,0.619465589523315,-0.022490661591292,-0.008262295275927,-0.999712884426117,0,0,0,-1,5
54,116348.55640675,-0.019302368164063,-0.004745483398438,-1.00151062011719,116348.54944875,0.011729893021254,0.001939846538014,0.010852115125964,116348.54447475,-1.80525138723446,-0.022461298287694,0.008232731917819,-0.000225268304348,-9.13429539650679E-05,-9.14325937628746E-05,0.002805329859257,0.002586886286736,-0.001827239990234,-0.006265178322792,-0.010188709944487,-0.784928858280182,0.619470477104187,-0.022458648309112,-0.008232639171183,-0.999713897705078,0,0,0,-1,5
55,116348.61606875,-0.019317626953125,-0.003509521484375,-1.00227355957031,116348.58423875,0.011709120364751,0.001929460209762,0.014063088452273,116348.61408475,-1.80524005899544,-0.022482192316133,0.008202615769894,0.000851447694004,-0.000102262012661,-0.001149239949882,0.002612598240376,0.004311532713473,-0.000530481338501,-0.006282650399953,-0.010183398611844,-0.784925222396851,0.619474947452545,-0.022479541599751,-0.00820252392441,-0.999713659286499,0,0,0,-1,5
56,116348.67573075,-0.019439697265625,-0.006027221679688,-1.00108337402344,116348.65384975,0.012801549043902,0.002984870949761,0.013010873505582,116348.64890575,-1.80525932669645,-0.022478640580827,0.008193837752874,-0.000202631577849,0.000978448893875,-0.001156164333224,0.002532755956054,0.002288594841957,-0.002834439277649,-0.006284073926508,-0.010178793221712,-0.784931182861328,0.619467437267303,-0.022475993260741,-0.008193746209145,-0.999713778495789,0,0,0,-1,5
57,116348.73539275,-0.01922607421875,-0.0050048828125,-1.00233459472656,116348.72345975,0.010677678074564,0.004079962790001,0.012991432429625,116348.71851575,-1.80528635491137,-0.022458349599567,0.00820107275186,-0.000234056264162,-0.001154210534878,-0.001167349517345,0.003031268715858,0.003577568568289,-0.001292884349823,-0.006274005398154,-0.010175262577832,-0.784939646720886,0.619457006454468,-0.022455707192421,-0.008200980722904,-0.999714195728302,0,0,0,-1,5
58,116348.79505375,-0.020187377929688,-0.004547119140625,-1.00083923339844,116348.79307075,0.011729893021254,0.001939846538014,0.010852115125964,116348.78812675,-1.80524771001429,-0.022495875137781,0.008174453170202,0.000828810967505,-0.001172053744085,-8.45082104206085E-05,0.003282411023974,0.003734054975212,-0.002300560474396,-0.006296784151346,-0.010176560841501,-0.784927487373352,0.619471967220306,-0.022493226453662,-0.008174362592399,-0.999713599681854,0,0,0,-1,5
59,116348.85471575,-0.020263671875,-0.004379272460938,-1.00291442871094,116348.82789075,0.012831110132002,0.004058124869063,0.010875817259666,116348.82291675,-1.80527540082701,-0.022493084873964,0.008164265112361,-0.001288135536015,-7.34997447580099E-05,-0.001174273900688,0.002989705651999,0.00434947758913,-0.002773463726044,-0.006298984400928,-0.010171610862017,-0.7849360704422,0.619461297988892,-0.022490438073874,-0.008164174854755,-0.999713718891144,0,0,0,-1,5
60,116348.91437775,-0.019454956054688,-0.00604248046875,-1.00056457519531,116348.89750175,0.010646252773701,0.001947303389066,0.012980247153046,116348.89252775,-1.80528634522283,-0.022472404867773,0.00817018450141,-0.00023219268769,-9.48051456362009E-05,0.000978891737759,0.002785924822092,0.00354668032378,-0.002177953720093,-0.006289090961218,-0.010167494416237,-0.784939527511597,0.619457006454468,-0.022469762712717,-0.008170093409717,-0.999714136123657,0,0,0,-1,5
61,116348.97403975,-0.019790649414063,-0.004104614257813,-1.00155639648438,116348.96711275,0.010668889642967,0.003017095198951,0.011915515349233,116348.96210775,-1.80526230621375,-0.022457504244174,0.00817782904469,0.001914315856993,-0.000120105221868,-6.63986429572105E-05,0.002771027386189,0.004302006214857,-0.000651776790619,-0.006280753295869,-0.010165954940021,-0.784932136535645,0.619466423988342,-0.022454865276814,-0.00817773770541,-0.999714434146881,0,0,0,-1,5
62,116349.03373175,-0.019729614257813,-0.005508422851563,-1.00236511230469,116349.00190275,0.010661965424132,0.003013633089534,0.012985839791335,116349.03171775,-1.80529887134431,-0.022470219087084,0.008155662234343,-0.000216479413211,0.000971524510533,0.00098448432982,0.00301262550056,0.003715264610946,-0.002666056156158,-0.006292793899775,-0.01016107853502,-0.784943401813507,0.619452297687531,-0.022467581555247,-0.008155572228134,-0.999714314937592,0,0,0,-1,5
63,116349.09339375,-0.019866943359375,-0.005264282226563,-0.999252319335938,116349.07151275,0.013855628203355,0.001904160179407,0.013017797724416,116349.06653875,-1.80527485718347,-0.022470357218453,0.008160300421105,0.000853312201798,0.000957143492997,0.000997001305223,0.002768620848656,0.002132988534868,-0.002437233924866,-0.0062912912108,-0.010163017548621,-0.78493595123291,0.619461536407471,-0.022467717528343,-0.008160210214555,-0.999714255332947,0,0,0,-1,5
64,116349.15305575,-0.0208740234375,-0.003570556640625,-1.00187683105469,116349.14112375,0.009578325176579,0.003021089940586,0.015113971818418,116349.13614875,-1.80523743624575,-0.022481484810036,0.008188337458532,-0.001317696645856,-0.001146753667854,0.000960782170296,0.001879472285509,0.003824233077466,-0.000972867012024,-0.006286782212555,-0.01017758436501,-0.784924387931824,0.619476079940796,-0.022478837519884,-0.008188245818019,-0.999713778495789,0,0,0,-1,5
65,116349.21271775,-0.018692016601563,-0.005645751953125,-1.00114440917969,116349.21073375,0.011768242540951,0.004075968048366,0.009792975960439,116349.20575975,-1.80525840430717,-0.022505776941596,0.008137987434822,-0.000211419537663,-8.44188034534454E-05,-0.002232081256807,0.002819294109941,0.002675250172615,-0.002224206924438,-0.006312020123005,-0.010165283456445,-0.78493070602417,0.619467973709106,-0.022503132000566,-0.008137897588313,-0.999713659286499,0,0,0,-1,5
66,116349.27237975,-0.0194091796875,-0.004013061523438,-1.00090026855469,116349.24555475,0.013885189291455,0.002977414098709,0.0108827414785,116349.24054975,-1.80529310124263,-0.022513041061435,0.008142642798674,-0.000193842686713,0.002041316591203,-8.02474096417427E-05,0.003574235364795,0.002969822846353,-0.001720905303955,-0.006313605699688,-0.010169250890613,-0.78494143486023,0.619454264640808,-0.022510392591357,-0.008142553269863,-0.99971342086792,0,0,0,-1,5
67,116349.33204175,-0.018630981445313,-0.004669189453125,-1.00125122070313,116349.31516575,0.011709120364751,0.001929460209762,0.014063088452273,116349.31016075,-1.80526176301685,-0.022506534078609,0.008150712009921,-0.000254829414189,-0.001164596877061,0.002043623477221,0.003171000629663,0.003847642801702,-0.002178549766541,-0.006308391690254,-0.010170500725508,-0.784931778907776,0.619466662406921,-0.022503886371851,-0.008150621317327,-0.99971354007721,0,0,0,-1,5
68,116349.39170375,-0.019882202148438,-0.003738403320313,-1.00129699707031,116349.38474575,0.011761318322117,0.004072505938949,0.010863300402542,116349.37977075,-1.80526160283004,-0.022510324215045,0.008093617569655,0.000835735350847,-0.001168591668829,-0.001154832541943,0.002076167613268,0.002859763801098,-0.000881195068359,-0.006327565293759,-0.010149269364774,-0.784931600093842,0.619466960430145,-0.022507686167955,-0.008093529380858,-0.999713897705078,0,0,0,-1,5
69,116349.451355542,-0.019088745117188,-0.004623413085938,-1.00213623046875,116349.419525542,0.008506669153931,0.001976065528839,0.0129552134388,116349.449371542,-1.80527806326215,-0.022498967613486,0.008089262319881,-0.000247905030847,-0.001161134801805,0.000973299145699,0.002339472994208,0.003572572953999,-0.001796424388886,-0.006324540823698,-0.010143990628421,-0.784936726093292,0.619460582733154,-0.022496333345771,-0.008089174516499,-0.999714195728302,0,0,0,-1,5
70,116349.511016542,-0.020156860351563,-0.004226684570313,-1.00117492675781,116349.489135542,0.01386255242219,0.001907622288824,0.011947473282314,116349.484191542,-1.80525003960635,-0.022504093413271,0.008061694973569,-0.000189833343029,-0.001140309497714,0.000961412675679,0.003580564633012,0.003377160057426,-0.001918375492096,-0.006334951147437,-0.010134848766029,-0.78492796421051,0.619471609592438,-0.022501463070512,-0.00806160736829,-0.999714314937592,0,0,0,-1,5
71,116349.570678542,-0.019729614257813,-0.003433227539063,-1.00067138671875,116349.558746542,0.012838034350836,0.00406158697848,0.009805492817563,116349.553802542,-1.80529110311448,-0.022487686942449,0.008078499726081,0.000886882655323,-0.001151228439994,-9.63946804404259E-05,0.003030102699995,0.003622845746577,-0.001307785511017,-0.006323513574898,-0.010136231780052,-0.784940779209137,0.619455575942993,-0.022485058754683,-0.008078412152827,-0.999714553356171,0,0,0,-1,5
72,116349.630340542,-0.019699096679688,-0.005279541015625,-1.00193786621094,116349.628356542,0.012808473262736,0.002988333059178,0.011940549063479,116349.623413542,-1.80527395261961,-0.022526226016712,0.008087158530323,-0.000205545686185,-0.002206639153883,0.000955820083618,0.002946557477117,0.003158481791615,-0.002224266529083,-0.006335870362818,-0.010151620954275,-0.784935355186462,0.619462013244629,-0.022523583844304,-0.008087070658803,-0.999713599681854,0,0,0,-1,5
73,116349.690002542,-0.019500732421875,-0.004318237304688,-1.00151062011719,116349.663177542,0.010668889642967,0.003017095198951,0.011915515349233,116349.658203542,-1.80526113428072,-0.022505271347425,0.00809593139176,0.000940944999456,0.002051222603768,-0.001149941235781,0.003703806549311,0.001793962903321,-0.001567721366882,-0.006324862595648,-0.010148613713682,-0.784931480884552,0.619467198848724,-0.022502634674311,-0.008095842786133,-0.999714016914368,0,0,0,-1,5
74,116349.749664542,-0.01910400390625,-0.00469970703125,-1.00041198730469,116349.732788542,0.01175252989052,0.003009638347899,0.00978738332215,116349.727813542,-1.80528618627207,-0.02252626945485,0.00803252485179,-0.000175984576344,-0.001133385230787,-0.001179235987365,0.001329179853201,0.005591032095253,-0.001506686210632,-0.006352872122079,-0.010130154900253,-0.784939050674439,0.619457602500916,-0.022523637861014,-0.008032438345253,-0.999714016914368,0,0,0,-1,5
75,116349.809326542,-0.015701293945313,-0.0133056640625,-0.99237060546875,116349.802398542,0.017096428933873,0.003993676370683,0.013066533572365,116349.797393542,-1.80532099713255,-0.022542751167594,0.007999276600347,0.001965463161469,-0.000102741876617,0.000992039218545,0.002825764939189,0.002231368795037,-0.001628816127777,-0.006369815673679,-0.010122100822628,-0.784949719905853,0.619444072246552,-0.022540120407939,-0.007999191060662,-0.999713957309723,0,0,0,-1,5
76,116349.869018542,-0.014175415039063,-0.0404052734375,-1.00811767578125,116349.837188542,0.017143566885167,0.007192665472086,0.013083311487232,116349.867004542,-1.80526304540584,-0.022497487698403,0.008313242614872,0.008459049277008,0.003023809287697,-0.003197379410267,0.008288878947496,-0.028140099719167,0.000139653682709,-0.006254502106458,-0.010231478139758,-0.784932494163513,0.619465172290802,-0.022494813427329,-0.008313146419823,-0.999712407588959,0,0,0,-1,5
77,116349.928680542,-0.013290405273438,-0.036529541015625,-1.00447082519531,116349.906799542,0.01827567666456,0.007209443386954,0.00346290836543,116349.901824542,-1.80542630639457,-0.022354367298554,0.008614795452629,0.007401240058243,0.001985709182918,-0.00749678676948,0.009580068290234,-0.031103938817978,0.005511403083801,-0.006105761043727,-0.010304991155863,-0.784984052181244,0.619400143623352,-0.022351676598191,-0.00861468911171,-0.999713063240051,0,0,0,-1,5
78,116349.988342542,-0.015518188476563,-0.041488647460938,-1.00238037109375,116349.976409542,0.028044684175189,0.012442821245068,-0.006029396707939,116349.971435542,-1.8062799600789,-0.021906047701133,0.009577625877441,0.017163325101137,0.007215625140816,-0.015918767079711,0.007163301110268,-0.028859410434961,-0.000468909740448,-0.005636072251946,-0.010541616007686,-0.785251259803772,0.619061887264252,-0.021903291344643,-0.009577479213476,-0.999714195728302,0,0,0,-1,5
79,116350.048004542,-0.0135498046875,-0.041717529296875,-1.00050354003906,116350.046020542,0.021607823820467,0.006169212665169,-0.017911622543546,116350.041046542,-1.8078340951532,-0.021394352023296,0.010692859429218,0.011859106831253,0.005192953627557,-0.027766104787588,0.007444962859154,-0.031757295131683,-0.001277804374695,-0.005098328925669,-0.010817104950547,-0.785734951496124,0.618447661399841,-0.021391496062279,-0.010692656040192,-0.999714016914368,0,0,0,-1,5
80,116350.107666542,-0.01470947265625,-0.03662109375,-0.998870849609375,116350.080841542,0.022712236724523,0.006172142142368,-0.023250727896937,116350.075836542,-1.80894371116983,-0.021230222891934,0.011136181177831,0.010822071693838,0.004165240097791,-0.035276487469673,0.007143449038267,-0.030398473143578,-0.000424683094025,-0.004902811255306,-0.010937784798443,-0.786078870296478,0.618009924888611,-0.021227311342955,-0.011135950684548,-0.999712646007538,0,0,0,-1,5
81,116350.167327542,-0.017578125,-0.031570434570313,-1.00340270996094,116350.150451542,0.004375573671,-0.004243214564823,-0.024589765293029,116350.145446542,-1.81153120743316,-0.02120762702761,0.011526244580071,-0.008568670600653,-0.005169405601919,-0.036622449755669,0.005442298948765,-0.021722912788391,-0.002580106258392,-0.004787716083229,-0.011077913455665,-0.786878228187561,0.616990268230438,-0.021204628050327,-0.011525989510119,-0.999708712100983,0,0,0,-1,5
